"Date","Room","Prov","Pot","W_treatment","Code","Height","D1","D2","D","Stemmass","Rootmass","Leafmass","Leafarea"
2016-01-28,1,"B",8,"w","B-08",17,2.18,2.02,2.1,0.135685551312663,0.254747477135546,0.442410299030704,93.6452529516646
2016-01-28,1,"B",9,"w","B-09",22,2.43,2.43,2.43,0.24993228877154,0.336891411330165,0.687867211933346,146.428249231412
2016-01-28,1,"B",10,"w","B-10",18,1.71,1.62,1.665,0.0950771663488207,0.211853461768001,0.484749772169262,82.292442204886
2016-01-28,1,"B",11,"w","B-11",18.3,2.46,2.35,2.405,0.19234192559181,0.301151082011973,0.503039255446049,115.392865963681
2016-01-28,1,"B",12,"w","B-12",16.8,1.54,1.48,1.51,0.0724075475259616,0.186134263426676,0.430134751570133,69.4088987631415
2016-01-28,1,"B",13,"w","B-13",13.8,1.18,1.1,1.14,0.0331523207727501,0.128399066098148,0.305890046298153,42.6242641174782
2016-01-28,1,"B",14,"w","B-14",19.2,1.83,1.85,1.84,0.124627254746199,0.241028206289099,0.542212402041409,97.2143728443237
2016-01-28,1,"B",15,"w","B-15",15.6,1.35,1.45,1.4,0.0570646657867368,0.166460570269171,0.378576122627493,59.2901952039494
2016-02-08,1,"B",1,"w","B-01",20.9,2.62,2.84,2.73,0.28995751294887,0.364903917189805,0.632283568287781,151.893334287148
2016-02-08,1,"B",2,"w","B-02",17.4,2.3,2.36,2.33,0.169690395514547,0.28429893437709,0.461398936457244,105.446184648856
2016-02-08,1,"B",3,"w","B-03",21.8,2.31,2.47,2.39,0.239447306309045,0.33004082793273,0.677008542614795,142.712913094364
2016-02-08,1,"B",4,"w","B-04",23.1,2.58,2.55,2.565,0.294680748117248,0.364047356812441,0.748267861777863,163.03448079074
2016-02-08,1,"B",5,"w","B-05",21.6,2.49,2.72,2.605,0.27758586133658,0.355782343258161,0.667897469023375,151.977148643171
2016-02-08,1,"B",6,"w","B-06",22.3,2.44,2.67,2.555,0.279270914242562,0.355677063119305,0.704731946057576,155.509424254418
2016-02-08,1,"B",7,"w","B-07",17.3,2.46,2.13,2.295,0.163739177160907,0.279421018803724,0.456736680389513,103.333036287312
2016-02-08,1,"B",8,"w","B-08",20.3,3,3.48,3.24,0.383508498772759,0.421132543100754,0.604290319645078,169.827598203041
2016-02-08,1,"B",9,"w","B-09",27.7,3.33,3.36,3.345,0.612933794249657,0.515785595938085,1.02515195991853,257.056114749079
2016-02-08,1,"B",10,"w","B-10",24.2,2.89,2.61,2.75,0.356567375664392,0.398636848797573,0.811148649326756,183.462202159813
2016-02-08,1,"B",11,"w","B-11",21.5,3.28,3.08,3.18,0.39955601416483,0.427310460680939,0.665886687557356,179.495669194419
2016-02-08,1,"B",12,"w","B-12",18.2,2.29,2.26,2.275,0.172236587355288,0.285088973810235,0.497705581960074,109.239514716135
2016-02-08,1,"B",14,"w","B-14",23.2,3.09,2.74,2.915,0.375814099048613,0.411097763311059,0.75613162866316,183.052875372621
2016-02-08,1,"B",15,"w","B-15",17.5,2.52,2.78,2.65,0.217127736009194,0.321528268156296,0.467375239708921,118.681601559518
2016-02-29,1,"B",1,"w","B-01",46.3,4.36,4.55,4.455,2.05382472365552,0.896592272013717,2.46975196564594,624.090244053001
2016-02-29,1,"B",14,"w","B-14",39,4.96,4.93,4.945,1.98835163458012,0.898093481597601,1.85024161293678,551.566487339308
2016-02-29,1,"B",2,"w","B-02",40.1,5.07,4.88,4.975,2.08589662174954,0.917261918161983,1.9400108867114,573.991732148205
2016-02-29,1,"B",6,"w","B-06",41,4.77,4.73,4.75,1.9709576427995,0.889484484642185,2.01225022090035,566.961937695353
2016-02-29,1,"B",15,"w","B-15",36,4.24,4.32,4.28,1.3683885810632,0.750837727035961,1.6094298138706,440.721790928104
2016-02-29,1,"B",10,"w","B-10",44.4,5.36,5.22,5.29,2.67368652679631,1.02791408441014,2.30978930358374,687.075541483451
2016-02-29,1,"B",4,"w","B-04",35.5,4.47,4.2,4.335,1.3756245151335,0.753927560846149,1.5721474435494,437.914794279488
2016-02-29,1,"B",9,"w","B-09",41.5,5.12,4.9,5.01,2.21100871016835,0.941080029016837,2.05676755569286,602.684640424476
2016-01-08,2,"B",16,"d","B-16",11.7,0.75,0.8,0.775,0.00657363307443707,0.0722724796811976,0.096269132543662,25.112312903866
